name,champion,role,kill,death,assist,cs,KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle                                      ,Neutral Minions Killed in Enemy Jungle                                      ,game_result,towers_destroyed,inhibitors_destroyed,barons_slain,dragons_slain,rift_heralds_slain,ban1,ban2,ban3,ban4,ban5,date,time
SG Reiya,Urgot,top,5,1,6,0,11.0,5,2,0,14900.0,12300.0,100.0,2500.0,303800.0,267100.0,100.0,36700.0,0,26800.0,9000.0,1600.0,17500.0,8700.0,8500.0,300.0,22,14,0,9,17400.0,16200.0,323,20,5,4,VICTORY,11,3,1,3,0,Irelia,Galio,Sejuani,Akali,Sion,1/19/2019,39:32
SG Reiya,Urgot,top,5,1,6,0,11.0,5,2,0,14900.0,12300.0,100.0,2500.0,303800.0,267100.0,100.0,36700.0,0,26800.0,9000.0,1600.0,17500.0,8700.0,8500.0,300.0,22,14,0,9,17400.0,16200.0,323,20,5,4,VICTORY,11,3,1,3,0,Irelia,Galio,Sejuani,Akali,Sion,1/19/2019,39:32
SG Reiya,Urgot,top,5,1,6,0,11.0,5,2,0,14900.0,12300.0,100.0,2500.0,303800.0,267100.0,100.0,36700.0,0,26800.0,9000.0,1600.0,17500.0,8700.0,8500.0,300.0,22,14,0,9,17400.0,16200.0,323,20,5,4,VICTORY,11,3,1,3,0,Irelia,Galio,Sejuani,Akali,Sion,1/19/2019,39:32
SG Reiya,Urgot,top,5,1,6,0,11.0,5,2,0,14900.0,12300.0,100.0,2500.0,303800.0,267100.0,100.0,36700.0,0,26800.0,9000.0,1600.0,17500.0,8700.0,8500.0,300.0,22,14,0,9,17400.0,16200.0,323,20,5,4,VICTORY,11,3,1,3,0,Irelia,Galio,Sejuani,Akali,Sion,1/19/2019,39:32
SG Reiya,Urgot,top,5,1,6,0,11.0,5,2,0,14900.0,12300.0,100.0,2500.0,303800.0,267100.0,100.0,36700.0,0,26800.0,9000.0,1600.0,17500.0,8700.0,8500.0,300.0,22,14,0,9,17400.0,16200.0,323,20,5,4,VICTORY,11,3,1,3,0,Irelia,Galio,Sejuani,Akali,Sion,1/19/2019,39:32
AXZ uinyan,Kennen,jg,4,4,0,0,1.0,2,2,1,14400.0,1000.0,13400.0,0.0,209700.0,34200.0,168900.0,6700.0,0,2900.0,2100.0,3200.0,20700.0,13600.0,5200.0,1900.0,24,7,0,12,15000.0,13600.0,317,15,13,0,DEFEAT,3,0,0,3,1,Cassiopeia,Lucian,Aatrox,XinZhao,LeeSin,1/19/2019,39:32
AXZ uinyan,Kennen,jg,4,4,0,0,1.0,2,2,1,14400.0,1000.0,13400.0,0.0,209700.0,34200.0,168900.0,6700.0,0,2900.0,2100.0,3200.0,20700.0,13600.0,5200.0,1900.0,24,7,0,12,15000.0,13600.0,317,15,13,0,DEFEAT,3,0,0,3,1,Cassiopeia,Lucian,Aatrox,XinZhao,LeeSin,1/19/2019,39:32
AXZ uinyan,Kennen,jg,4,4,0,0,1.0,2,2,1,14400.0,1000.0,13400.0,0.0,209700.0,34200.0,168900.0,6700.0,0,2900.0,2100.0,3200.0,20700.0,13600.0,5200.0,1900.0,24,7,0,12,15000.0,13600.0,317,15,13,0,DEFEAT,3,0,0,3,1,Cassiopeia,Lucian,Aatrox,XinZhao,LeeSin,1/19/2019,39:32
AXZ uinyan,Kennen,jg,4,4,0,0,1.0,2,2,1,14400.0,1000.0,13400.0,0.0,209700.0,34200.0,168900.0,6700.0,0,2900.0,2100.0,3200.0,20700.0,13600.0,5200.0,1900.0,24,7,0,12,15000.0,13600.0,317,15,13,0,DEFEAT,3,0,0,3,1,Cassiopeia,Lucian,Aatrox,XinZhao,LeeSin,1/19/2019,39:32
AXZ uinyan,Kennen,jg,4,4,0,0,1.0,2,2,1,14400.0,1000.0,13400.0,0.0,209700.0,34200.0,168900.0,6700.0,0,2900.0,2100.0,3200.0,20700.0,13600.0,5200.0,1900.0,24,7,0,12,15000.0,13600.0,317,15,13,0,DEFEAT,3,0,0,3,1,Cassiopeia,Lucian,Aatrox,XinZhao,LeeSin,1/19/2019,39:32
